"GOA.species.i.","yrs","ymeans","yn","ysd","yse"
21740,1984,2.14980563063712,1531,0.611025176496977,0.0156160614681189
21740,1987,1.75604645451215,795,0.954273200414583,0.0338445826518789
21740,1990,2.50601316611051,650,1.1455565475003,0.0449324245356002
21740,1993,2.11589721105071,934,0.980027987659964,0.0320674953433898
21740,1996,1.61961583480002,856,0.742706208019133,0.0253851755857866
21740,1999,2.17336784639018,951,1.88371386401776,0.0610836071938757
21740,2001,2.28668491667367,552,0.874075342647931,0.0372031171902121
21740,2003,1.72751037815766,870,1.21406129607509,0.0411605328013548
21740,2005,1.43787161945712,1250,1.01981534155771,0.0288447337429412
21740,2007,1.54509554461456,838,0.62280941018556,0.0215145940759431
21740,2009,1.72633436092994,1253,0.817707093677464,0.0231005451967746
21740,2011,1.76091952090124,1280,0.742188769960732,0.0207448067721144
21740,2013,1.85931439471913,892,0.759648273920718,0.025434905486745
21740,2015,1.59609123413718,1043,1.19718053594226,0.0370695652900707
21740,2017,1.9176679846356,602,1.83266525416379,0.074693859503578
21740,2019,1.44995661114497,824,0.82669576638084,0.0287993116606321
21741,1984,1.15385576730299,42,0.348980498739464,0.0538488600269408
21741,1987,1.40790295732964,73,0.292341658857792,0.0342160031259358
21741,1990,1.52302284564262,28,0.728471508566092,0.13766817491871
21741,1993,0.991797410541659,163,0.43447408171159,0.0340306364749524
21741,1996,0.884177872529364,209,0.436761366127781,0.0302114154208492
21741,1999,0.761988766615118,251,0.687883332947111,0.0434188109740479
21741,2001,1.21729181252466,402,0.486868495651782,0.0242827934934665
21741,2003,0.474147649339257,231,0.386429210921215,0.0254251754307579
21741,2005,0.353718874889463,251,0.352116600594771,0.0222254027533244
21741,2007,0.841747551415473,459,0.24813165978064,0.0115817940469215
21741,2009,0.713777275844313,335,0.377826243251985,0.0206428528406979
21741,2011,0.775441022808669,393,0.395152112023394,0.0199327872926318
21741,2013,0.854928790017836,677,0.386390848393044,0.0148502066550778
21741,2015,0.675133569465492,115,0.502655781332511,0.0468728932982359
21741,2017,0.425409982024841,298,0.46566925628288,0.0269754957314327
21741,2019,0.720951163188293,160,0.391741098715755,0.0309698531259662
21720,1984,2.07991897008303,905,0.671292302779446,0.0223145111909635
21720,1987,2.81775928432709,320,1.06313458085478,0.059431029800551
21720,1990,2.37180038348214,291,0.471723825720133,0.0276529403960946
21720,1993,2.13586020369871,778,0.67275692735612,0.024119504403714
21720,1996,2.39967713944631,747,0.600123313168105,0.0219573637908194
21720,1999,2.4112374329239,670,0.608668477649156,0.0235149147869691
21720,2001,2.31789183634481,749,1.06134201005615,0.0387805930280535
21720,2003,2.0131627845878,691,1.02550857288147,0.0390121846907662
21720,2005,1.83702039608048,543,1.12371956694109,0.0482234223430827
21720,2007,2.37655870211511,482,1.31807451271484,0.060036648922429
21720,2009,1.88533570056889,559,1.19856145265004,0.050693748062529
21720,2011,2.10103421220517,832,0.851437745396114,0.0295182927777994
21720,2013,2.0216254737017,911,0.931672391923215,0.0308676834457717
21720,2015,2.28789716406158,744,0.865229360054346,0.0317208473709354
21720,2017,2.38533812126506,340,0.977550640578855,0.0530151270004229
21720,2019,2.95222881647866,500,1.87448788976915,0.0838296468904791
30420,1984,2.48981702446144,417,1.77605721614114,0.0869738960673785
30420,1987,2.00367620184699,392,1.1585210972307,0.0585141517142505
30420,1990,2.12716434756717,195,1.52324391112471,0.10908176215464
30420,1993,1.36959526127828,245,0.774368903810256,0.0494726145309065
30420,1996,2.05585394572842,655,0.447061105431604,0.0174681228532104
30420,1999,1.5974145264115,280,1.41614113881955,0.0846306201986259
30420,2001,2.30210578991304,924,1.63436667181502,0.0537667160953223
30420,2003,1.87466556293172,218,1.82174086487998,0.123383860236466
30420,2005,2.6959996850466,420,1.57625935566977,0.076913581009197
30420,2007,2.34843954711377,1832,1.21256024671106,0.0283296097038734
30420,2009,2.70737190003072,657,0.880486028259826,0.0343510316125649
30420,2011,2.30065569329703,862,0.980227110963045,0.0333866678913171
30420,2013,1.95223596878947,993,2.23254538963304,0.0708476864797183
30420,2015,2.69471363919957,626,2.05567622715257,0.0821613462796975
30420,2017,2.52314457586636,629,1.92676955818285,0.0768253333525986
30420,2019,2.15644071009446,368,1.28835121777855,0.0671599498187034
10262,1996,1.82673824229632,327,0.699207097676102,0.0386662408539498
10262,1999,2.1856417936952,485,0.670029921404831,0.0304244914765002
10262,2001,1.94374952690986,837,0.907337184673829,0.0313621610446487
10262,2003,1.96820370473716,575,0.589289750815535,0.0245750814202282
10262,2005,1.87395317313732,419,0.846994003595647,0.0413783648092665
10262,2007,2.22089971899606,441,0.914501408789124,0.0435476861328154
10262,2009,1.95213256574406,511,0.552996986758091,0.0244631464247965
10262,2011,2.15559777127801,383,0.672928670655126,0.0343850488104391
10262,2013,1.93811131826681,450,0.90644645643337,0.0427302957417702
10262,2015,2.15341770887986,399,0.923351318257407,0.0462253838014159
10262,2017,1.57695393782565,723,0.686820744278769,0.0255431383215429
10262,2019,2.04068871971041,669,0.685783802863994,0.0265139336206411
10110,1984,1.80277101629749,986,1.13922496321717,0.0362803138525916
10110,1987,1.91979632860236,1282,0.689784688008728,0.0192650232280579
10110,1990,1.93003091468915,225,0.949207160094666,0.0632804773396444
10110,1993,1.86882372834948,545,0.969216083224252,0.0415166555718616
10110,1996,1.63514220628164,655,0.872849570291443,0.0341050548593418
10110,1999,1.7508115784068,879,0.99860130703753,0.0336819861250111
10110,2001,2.40290327355041,1385,0.866745522945126,0.0232898515502214
10110,2003,1.72701149200493,1032,1.51677612305975,0.0472151783780133
10110,2005,1.36169408264321,1102,1.03189828453521,0.031084657977027
10110,2007,1.24957799016721,1166,0.951435973138298,0.0278631551068015
10110,2009,1.27759459060097,1159,0.783623862909535,0.0230179124929199
10110,2011,1.22509497781204,904,0.869579155650899,0.0289217725029983
10110,2013,1.16736833021638,821,0.666995737460049,0.0232783117418685
10110,2015,1.16017532677556,829,0.59604007499245,0.020701327469105
10110,2017,1.46001021412824,894,0.45427551640337,0.0151932460564238
10110,2019,1.44041668095176,890,0.499415827937827,0.0167404565868365
30060,1984,1.6979315200364,804,0.882113284673899,0.0311097369017681
30060,1987,1.55289939362671,603,0.494874457674498,0.0201528458400738
30060,1990,1.72983166720814,228,0.209597123558857,0.0138809086050733
30060,1993,2.07300750731182,408,0.621585497860264,0.0307730676728137
30060,1996,1.18862839316392,830,0.643722585811331,0.0223439371438587
30060,1999,0.775137946156924,878,0.738641809355142,0.0249279536472227
30060,2001,2.06801856789178,1104,1.31130632867148,0.039465682758471
30060,2003,1.36505366483549,1317,0.663981780930425,0.0182963001144953
30060,2005,1.18429438519076,1482,0.848585393215263,0.0220430380399627
30060,2007,1.36809902962118,1180,0.943384816481234,0.027462993775096
30060,2009,1.01969530754827,415,0.789856179335373,0.0387725149214698
30060,2011,1.53870343969395,2381,0.977537594571406,0.0200333588743085
30060,2013,1.48004360485263,1286,0.789798116323098,0.0220239701267917
30060,2015,1.36311673975712,1117,0.892859570742585,0.0267150857007567
30060,2017,1.48822292389347,1056,0.850008889471429,0.0261572153876813
30060,2019,1.65838217081511,1218,1.41236838699252,0.040469174351874
30152,1996,2.02191863922816,565,1.20331262439458,0.0506237425851032
30152,1999,2.39047416262607,178,1.89595741344727,0.142108016236536
30152,2001,3.51691737201059,676,2.21049978370374,0.085019222450144
30152,2003,2.07470517342646,329,1.67695249067923,0.0924533835709878
30152,2005,2.25308921601544,679,0.817620937261549,0.0313774117661659
30152,2007,1.74219851947636,1031,1.23171072297166,0.0383600698811092
30152,2009,3.00092019287647,742,1.65621445172615,0.0608015453026878
30152,2011,3.32265168790666,851,2.46061741576718,0.0843488786734162
30152,2013,2.09861269642527,864,0.955575373293633,0.0325093343797078
30152,2015,2.99475619320622,949,1.04123233545062,0.0337998319059168
30152,2017,2.31212606951082,563,0.46589356954972,0.0196350729326996
30152,2019,1.99551091510321,543,1.24996879432776,0.0536412952642848
